Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,606.1848739,,,,
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,212.4033613,,,,
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,284,,,,
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,649.1428571,,,,
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,522.6554622,,,,
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,188.5378151,,,,
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,103.8151261,,,,
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,176.605042,,,,
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,224.3361345,,,,
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,105.0084034,,,,
2010,2,201002,Broome,Perth,Broome - Perth,278,331.7310924,,,,
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,326.9579832,,,,
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,451.0588235,,,,
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,427.1932773,,,,
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,140.8067227,,,,
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,90.68907563,,,,
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,152.7394958,,,,
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,261.3277311,,,,
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,379.4621849,,,,
2010,2,201002,Darwin,Perth,Darwin - Perth,398,474.9243697,,,,
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,522.6554622,,,,
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,322.1848739,,,,
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,295.9327731,,,,
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,433.1596639,,,,
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,90.68907563,,,,
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,319.7983193,,,,
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,453.4453782,,,,
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,78.75630252,,,,
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,248.2016807,,,,
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,423.6134454,,,,
2010,2,201002,Karratha,Perth,Karratha - Perth,368,439.1260504,,,,
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,122.907563,,,,
2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,250.4689076,,,,
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,233.8823529,,,,
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,307.8655462,,,,
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,162.2857143,,,,
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,178.9915966,,,,
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,427.1932773,,,,
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,78.75630252,,,,
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,178.9915966,,,,
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,511.9159664,,,,
2010,2,201002,Perth,Newman,Perth - Newman,358,427.1932773,,,,
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,391.394958,,,,
2010,2,201002,Perth,Sydney,Perth - Sydney,434,517.8823529,,,,
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,188.5378151,,,,
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,268.487395,,,,
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,295.9327731,,,,
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,255.3613445,,,,
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,131.2605042,,,,
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,284,,,,
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,326.9579832,,,,
